,0_x,+,−,?,communictaion,quality,price,safety
54,не давно пользоваться совкомбанк нравиться продукт банк,0.8639829918028877,0.05823244225271655,0.0777845659443957,0.0,1.0,0.0,0.0
55,30 12 21 вечером начать переносить дать свой новый смартфон,0.09772951541017458,0.385946528954626,0.5163239556351995,1.0,0.0,0.0,0.0
56,банк привлечь самый удобный условие накопительный счёт июль ставка сопоставимый вклад выплата конец срок отсутсвие капитализация больший длительность ещё увеличивать ставка активный пользователь карта,0.9585930222837776,0.0393349933875913,0.002071984328631011,0.0,0.6666666666666666,0.3333333333333333,0.0
57,добрый вечер,0.3084596498738114,0.16332797982771052,0.528212370298478,1.0,0.0,0.0,0.0
58,начало июнь попытаться оформить дебет приложение получить отказ объяснение причина попытаться сделать сайт результат отказывать,0.0009891165232976157,0.9912170123678734,0.007793871108829014,0.0,1.0,0.0,0.0
59,решить переоткрыть свой вклад новый условие не ехать отделение,0.1684654221458246,0.5859769856376089,0.24555759221656656,0.5,0.5,0.0,0.0
60,стать клиент мкб десятка год назад совершенно случайно банкомат магазин рядом дом долгопрудный переехать жить,0.01240645804876104,0.11823870217015012,0.8693548397810889,0.0,1.0,0.0,0.0
61,нужно получить справка банк подтверждение сумма банковский счёт оригинальный вид,0.2085732319916389,0.2240659977397073,0.5673607702686537,0.0,1.0,0.0,0.0
62,добрый день контакт центр сбербанк создать обращение,0.18595926250579792,0.4186558375315355,0.39538489996266657,1.0,0.0,0.0,0.0
63,не мочь войти мобильный банк течение полчаса нужно сделать срочный оплата,0.17263725779142652,0.2458305857874467,0.5815321564211268,0.0,1.0,0.0,0.0
64,конец август решить воспользоваться услуга домклик направить документ распоряжение материнский капитал погашение часть ипотека напрямую банк электронный,0.06587691967169003,0.16284138434930728,0.7712816959790028,0.0,1.0,0.0,0.0
65,16 08 получить инвойс швейцарский банк оплата выделить 10 день,0.3362801936908437,0.06115735231148465,0.6025624539976716,0.0,1.0,0.0,0.0
66,несколько год отп ип физ лицо,0.03135270613166804,0.18825514155904566,0.7803921523092865,1.0,0.0,0.0,0.0
67,являться клиент данный банк,0.24360944478372074,0.30785441796092355,0.4485361372553556,0.0,1.0,0.0,0.0
68,третий год пользоваться банк всё устраивать разногласие всё урегулировать оперативно быстро затрата,0.9977795024195782,0.00011086960767477539,0.0021096279727469743,0.0,1.0,0.0,0.0
69,здравствуйте не получаться самостоятельно зарегистрировать интернет банк форма саморегистрация офф,0.0010516537386299175,0.9898538676829581,0.009094478578411882,1.0,0.0,0.0,0.0
70,писать отзыв оперативный работа технический поддержка,0.8160768075607236,0.11329111370865225,0.07063207873062413,0.3333333333333333,0.6666666666666666,0.0,0.0
71,мой мнение чат банк работать не решение проблема клиент отстать,0.001754669691923992,0.9947747962427954,0.0034705340652805873,0.5,0.5,0.0,0.0
72,услуга банк пользоваться 18 год,0.1543249606023539,0.5078113295637638,0.33786370983388225,0.0,1.0,0.0,0.0
73,28 февраль заказать денежный средство офис 7701 румянцевый доллар евро купить год назад находиться брокерский счёт,0.3389279834001676,0.23562272892454528,0.42544928767528695,0.0,1.0,0.0,0.0
74,обратиться отделение банк краснополянский пр 2 лобня россия тц поворот заявление снятие 400 usd который лежать простой счёт довольно давно,0.600138569118605,0.15063467218132243,0.24922675870007258,0.0,1.0,0.0,0.0
75,отношение банк премиальный клиент придумывание условие ход воздух который не соответствовать заявить информация,0.011139744414328828,0.9642602306112004,0.024600024974470697,1.0,0.0,0.0,0.0
76,изначально хотеть поблагодарить администрация юmoney быстро решить мой проблема номер обращение,0.985405720397187,0.008956017923407862,0.0056382616794050135,0.0,1.0,0.0,0.0
77,попросить техподовый не смочь найти кнопка закрыть счёт попросить закрыть,0.00047574794658316173,0.9950101414208189,0.004514110632598063,0.0,1.0,0.0,0.0
78,здравствуйте сегодня произойти очень неприятный ситуация,0.0020644844966490536,0.9796881894870898,0.01824732601626103,1.0,0.0,0.0,0.0
79,не думать быть писать негатив втб,0.02841467742134097,0.8278069419313985,0.1437783806472606,1.0,0.0,0.0,0.0
80,21 март 2022 воля судьба прийтись столкнуться банкомат n 377190 банк который присвоить мой личный денежный средство не выдать сдача,0.0003731709451978097,0.8631321388485244,0.13649469020627775,0.0,1.0,0.0,0.0
81,27 09 приходить открыть текущий счёт оплата страховка попасть обслуживание сотрудница далее к наталья,0.8028736371471873,0.055389455472499106,0.14173690738031364,0.3333333333333333,0.6666666666666666,0.0,0.0
82,добрый день ранее являться зарплатный клиент вашео банк январь 2022 год счёт продукт ваш банк закрытый,0.17993901073607793,0.039322840185314574,0.7807381490786074,0.0,1.0,0.0,0.0
83,плохой банк тот который прийтись взаимодействовать,0.011990276425842957,0.5652942781557058,0.4227154454184512,0.0,1.0,0.0,0.0
84,обновить сайт сделать ещё кривой,0.11903686121254514,0.7121811675322504,0.1687819712552045,1.0,0.0,0.0,0.0
85,цб рф генеральный прокуратура иной орган который курировать банковский сектор необходимо обратить особый внимание финансовый организация ибо невозможно назвать это банк,0.001440147776770129,0.9880495428862912,0.010510309336938663,0.5,0.5,0.0,0.0
86,решить сделать вклад связь оформить карта сайт банк,0.36101754810616765,0.13142472476129005,0.5075577271325423,0.6666666666666666,0.3333333333333333,0.0,0.0
87,17 10 позвонить совок 8 985 491 попросить сделать пролонгация сж перевод профильный сотрудник не ответить поэтому составить обращение должный бить перезвонить ждать сутки 18 10 звонить якобы обращение,5.742952872842156e-05,0.9962509897843902,0.003691580686881389,0.6666666666666666,0.3333333333333333,0.0,0.0
88,обратиться онлайн чат банк 11 17,0.1635020186912821,0.43252432799705715,0.4039736533116608,0.0,1.0,0.0,0.0
89,ситуация такой 16 июль не банковский день мобильный приложение попытка отправить платёж реквизит посредством платёжный поручение,0.0016118423746937084,0.79371516482071,0.2046729928045964,0.0,1.0,0.0,0.0
90,второй год подряд проблема получение справка госслужащий,0.2545825275532144,0.4817955323022788,0.2636219401445069,0.0,1.0,0.0,0.0
91,сегодня 13 06 22 пытаться снять евро банкомат москва область тинькофф,0.015670720379859848,0.9463742796662901,0.03795499995385012,0.0,1.0,0.0,0.0
92,кратко банк не начислить процент размещение денежный средство накопительный счёт,0.020263877803175796,0.9690371448663792,0.010698977330444975,0.0,1.0,0.0,0.0
93,долго удивляться очень хороший курс обмен мобильный банк завести накопительный счёт доллар,0.7934463047897399,0.14370620259464328,0.06284749261561672,0.0,0.0,1.0,0.0
94,обратиться офис сбербанк 15 08 2022 разморозить счёт процедура банкротство завершиться 28 07 2022 обратиться отделение г ростов дон ул волков 9б окно номер 2 время обращение около 11 час утро сказать,0.006706288837587882,0.45750422894489395,0.5357894822175182,0.0,1.0,0.0,0.0
95,несколько год сотрудничать банк втб они работать персональный менеджер ик наталья,0.8308897815228609,0.1342965220947395,0.034813696382399596,0.6666666666666666,0.3333333333333333,0.0,0.0
96,заказать 08 09 2022 сертификат магнит косметика 500 рубль программа мультибонус втб,0.09241614696483837,0.007934920313661779,0.8996489327214997,1.0,0.0,0.0,0.0
97,весь привет 1 начать поддержка пакет premium это фикция поддержка оперативный моральный вы извиняться выслушать,0.7640354423827755,0.03514183569549808,0.20082272192172645,1.0,0.0,0.0,0.0
98,позвонить банк поддержка сначала объяснить один сотрудник который вообще не понять перенаправить другой развести рука ссылаться закон банковский тайна внимание карта банк использоваться,0.06142748425936209,0.8620409774830673,0.07653153825757064,0.5,0.5,0.0,0.0
99,делать крупный покупка 2 часть магазин партнёр,0.36460214882817427,0.1082150270211526,0.5271828241506732,1.0,0.0,0.0,0.0
100,пользоваться услуга данный банк нечасто,0.4399796105221542,0.3462943300482801,0.21372605942956577,0.0,1.0,0.0,0.0
101,26 02 произойти двойной списание денежный средство заправка газпромнефть,0.7015432233086656,0.051459639915705464,0.24699713677562898,0.0,1.0,0.0,0.0
102,квест начаться 19 апрель,0.017019869325653796,0.18231580946739945,0.8006643212069467,0.0,1.0,0.0,0.0
103,не дозвониться горячий линия сначала оператор занятый ждать ответ оператор вовсе сбрасывать звонок,0.0006635732554435557,0.9983145513705934,0.001021875373962896,1.0,0.0,0.0,0.0
104,просить руководство тинькофф банк произвести награждение сотрудница горячий линия выразить глубокий благодарность клиент банк,0.5381011258105389,0.4246479740292295,0.03725090016023144,1.0,0.0,0.0,0.0
105,получить информация возможность компенсация проход бизнес зал отключение priority не внимательно изучить полный требование условие сделать не предписать так,0.22878537129883403,0.7322008853442239,0.03901374335694205,1.0,0.0,0.0,0.0
106,выражать благодарность оперативный открытие расчётный счёт проведение консультация менеджер дополнительный офис ростовский пао мтс банк ой екатерина,0.9779954375093157,0.00969535805660918,0.012309204434075178,1.0,0.0,0.0,0.0
107,лето открыть счёт дебетовый карта убрир всё вроде данный случай цель оправдывать неудовлетворённость некоторый сторона взаимодействие банк целое скорее довольный пока не случиться проблема платёж,0.5360984806269977,0.0010426358158437967,0.46285888355715843,0.0,1.0,0.0,0.0
108,иметь опыт ипотека банк,0.12116188075674446,0.21816315757194082,0.6606749616713147,1.0,0.0,0.0,0.0
109,ежедневно названивать 20 30 номер каждый номер контакт подписать почта банк коллектор,0.02609653279648613,0.804108600249384,0.16979486695412987,0.0,1.0,0.0,0.0
110,29 октябрь положить деньга банкомат 398920 район 21 00,0.0026057395964488046,0.3250718751676335,0.6723223852359177,0.0,1.0,0.0,0.0
111,очень любить сбербанк последний время разочаровать,0.045528847130961766,0.8295537136809142,0.12491743918812402,0.0,1.0,0.0,0.0
112,такой проблема перевыпуск карта ещё не встречать,0.024085086316926834,0.9513730996342185,0.024541814048854662,0.0,1.0,0.0,0.0
113,зайти город давлеканово местный отделение уралсиб выяснить почему удерживать лишний деньга брать раз месяц обслуживание банковский счёт брать деньга перечисление деньга налоговый,0.02669919708591581,0.9156612867148899,0.057639516199194316,0.3333333333333333,0.6666666666666666,0.0,0.0
114,21 декабрь друг прислать реферальный ссылка,0.2507623490860649,0.3453281481668407,0.4039095027470943,1.0,0.0,0.0,0.0
115,здравствуйте некоторый раздел приложение банк не работать течение длительный время частность кэшбэк покупка представляться сам приложение работать не правильно не учитывать квалифицировать покупка,0.07735618760457388,0.8923406346008917,0.03030317779453432,0.0,1.0,0.0,0.0
116,круто несколько год тиньковы банк банк просто круть бонус реальный кешбек думать подключить ваш система тиньковпрой принцип знакомый весь советовать супруг потихоньку тиньковы переходить родитель также переслать,0.08951679527961853,0.0030861459276862913,0.9073970587926952,0.0,1.0,0.0,0.0
117,ситуация следующий,0.24751873805724225,0.38717967139057025,0.3653015905521876,1.0,0.0,0.0,0.0
118,добрый день хотеть поделиться впечатление мой визит отделение мтс банк г,0.6298012586316895,0.33813321494137866,0.03206552642693196,0.0,1.0,0.0,0.0
119,https i ibb co g2r4gw7 w uhi zhce4k q jpg клиент данный банк не являться столкнуться связь взыскание наш мой супруг польза выиграть дело против застройщик,0.2908270417769655,0.38996523382051046,0.31920772440252404,0.0,1.0,0.0,0.0
120,здравствуйте сказать шок не сказать,0.001948516337187247,0.9653515939658237,0.032699889696989025,1.0,0.0,0.0,0.0
121,здравствуйте начаться не очень круто кончаться,0.012600549740620444,0.8421682553793183,0.14523119488006125,0.0,1.0,0.0,0.0
122,обращение 25710361 не мочь оплачивать пластиковый карта магазин проблема решить быстро большой спасибо сотрудник тот поддержка юманя весь рекомендовать юманя благо ваш карта 2155 зафиксировать подозрительный активность,0.9958586136197718,3.3676461333932e-05,0.004107709918894431,1.0,0.0,0.0,0.0
123,муж являться клиент банк втб банк ипотека платить вовремя просрочка подключить сбер услуга изменение кредитный история банк втб каждый месяц регулярно запрашивать наш кредитный история звонить,0.0007888810963835959,0.0809731639285416,0.9182379549750748,1.0,0.0,0.0,0.0
124,весь добрый время сутки,0.3927915963842308,0.09426233199705135,0.512946071618718,1.0,0.0,0.0,0.0
125,сегодняшний утро 31 03 2022 г хороший мнение сбербанк вкратце выясниться ответ банк разница клиент изменить адрес регистрация ссылаться изменение не обнаружить хотя снимать больший сумма,1.1249735433736494e-06,0.9999696062870681,2.926873938842944e-05,1.0,0.0,0.0,0.0
126,25 февраль 2022г хотеть снять деньга счёт вклад,0.0914937993069498,0.8095633494635309,0.0989428512295193,0.0,1.0,0.0,0.0
127,счёт перевести втб альф рамка какой внутренний договорённость это очень печально так,0.35869513144861054,0.4320610756144928,0.20924379293689654,0.3333333333333333,0.6666666666666666,0.0,0.0
128,здравствуйте 26 10 21 год подать ваш банк заявление взаимодействие третий лицо,0.1113035555940131,0.7314597658028419,0.15723667860314508,0.0,1.0,0.0,0.0
129,долго выбирать автомобиль банк оформить автокредит,0.027538198409977798,0.6712742335511678,0.30118756803885444,0.0,0.5,0.5,0.0
130,понедельник 12 сентябрь поехать отделение ак барс банк трк тандем досрочно погасить ипотека больший сумма,0.3959215131879613,0.4121436876827359,0.19193479912930292,0.0,1.0,0.0,0.0
131,добрый день хотеть поблагодарить сотрудник банк понимание умение войти положение клиент своевременно помочь,0.9980597960014924,0.00023807640523788818,0.0017021275932694755,1.0,0.0,0.0,0.0
132,обратиться россельхозбанк 1326 г,0.1803540244464141,0.16925149460543856,0.6503944809481472,1.0,0.0,0.0,0.0
133,несколько год иметь дело тинькофф,0.29287905339811326,0.051744800220655425,0.6553761463812313,0.0,1.0,0.0,0.0
134,пара слово банк тинькофф именно сервис,0.7956867677991509,0.13527724997504711,0.06903598222580187,0.0,1.0,0.0,0.0
135,около месяц назад нужно сделать покупка 200 000 руб подумать кэшбек изучить предложение альфа банк получаться 2 мало отбить сумма хотеться,0.005716433364253509,0.24714281881166775,0.7471407478240788,1.0,0.0,0.0,0.0
136,весь здравствуйте случай произойти банк,0.030343071175369142,0.717757092367094,0.2518998364575369,0.0,1.0,0.0,0.0
137,сказать банк регулярно убирать плюшка убрать сервис кино культура мой город,0.10254519732685613,0.7777308945703264,0.11972390810281747,0.0,1.0,0.0,0.0
138,сентябрь 2021 не посчастливиться открыть рсхб специальный счёт эскроу сделка покупка недвижимость счёт открыть москва счастливо уехать домой спб,0.035293285258667845,0.8853574559377361,0.0793492588035961,0.0,1.0,0.0,0.0
139,около год назад стать премиальный клиент открытие условие программа просто отличный 3 кешбек покупка 12 проход бизнес зала год страхование путешественник так п,0.19150211324291394,0.012185815353196417,0.7963120714038896,1.0,0.0,0.0,0.0
140,добрый день 18 12 2021 бонус спасибо купить лотерейный билет русский лото кол ве 10 шт,0.06831053806265243,0.5013475148857615,0.4303419470515861,0.0,0.6666666666666666,0.3333333333333333,0.0
141,настоящий время не мочь возвратить денежный средство мой доверенный лицо который отказать повышение лимит снять наличный,0.0009098894000646225,0.9663027612712484,0.03278734932868698,0.5,0.5,0.0,0.0
142,цель отзыв предупредить возможный проблема втб случай ранний не посчастливиться клиент банк,0.0091526166860122,0.682377461100855,0.3084699222131329,0.0,1.0,0.0,0.0
143,вечер добрый угораздить вляпаться экспобанк открыть вклад,0.3275698591208443,0.07302391412146868,0.599406226757687,1.0,0.0,0.0,0.0
144,14 октябрь 2021г,0.04446035133967985,0.7327042419688047,0.22283540669151547,1.0,0.0,0.0,0.0
145,1 02 2022 офис адрес г,0.35053218743339465,0.10375741690775729,0.545710395658848,1.0,0.0,0.0,0.0
146,сожаление пять день невозможно открыть счёт ренкопилка,0.01907044117997386,0.7942072968468491,0.18672226197317698,0.0,1.0,0.0,0.0
147,добрый время сутки просить официально яснить почему дать не 4 месяц бесплатный обслуживание счёт 2 месяц хотя акция написать открытие ип тинькофф выдавать 4х месяц бесплатный ведение счёт поделиться,0.0012070473722179933,0.946966851766241,0.051826100861541075,0.0,0.0,1.0,0.0
148,не мочь снова не отметить замечательный работа группа поддержка тинька,0.8741224221717101,0.09628040241405504,0.029597175414235052,0.6666666666666666,0.3333333333333333,0.0,0.0
149,19 10 2021 личный кабинет интернет банк открыть впервые это важный условие акция накопительный счёт промый ставка 7 5,0.2807389512398391,0.0356353045483437,0.6836257442118172,1.0,0.0,0.0,0.0
150,привет банк ру писать отзыв сам плохой банк который либо приходиться сотрудничать начать ранее брать кредит русфинансбанк который упразднить последствие передать счёт росбанк,0.2923552199172765,0.6634994957384529,0.04414528434427057,1.0,0.0,0.0,0.0
151,начало сентябрь я подать заявка карта сберkids,0.06855045734300778,0.6611114388427205,0.2703381038142718,0.0,1.0,0.0,0.0
152,здравствуйте опасайтейся подавать заявка кредит иначе заиметь минус свой кредитный максимома другой банк сумма который ваш ведомо открыть тинкофф,0.0016892707023423471,0.8334862557826241,0.16482447351503354,0.0,1.0,0.0,0.0
153,неделя не работать платный подписка сбер,0.18625059562206195,0.7537913827391799,0.05995802163875815,0.0,1.0,0.0,0.0
154,весь привет давно собираться написать отзыв тинькофф дойти рука тинькофф банк узнать давно несколько год назад друг родственник коллега наперебой рассказывать новый банк выгодный условие кешбэк весь,0.4691991752852208,0.0007466360296302943,0.5300541886851489,1.0,0.0,0.0,0.0
155,перестать приходить 3ds код авторизация онлайн покупка карта,0.09802820177381674,0.591040069282681,0.3109317289435022,0.0,1.0,0.0,0.0
156,задумка хороший исполнение отвратительный сложиться впечатление цифра работать вчерашний 9 классник закончить бухгалтерский курс,0.29416141636578597,0.4949513582493358,0.21088722538487834,0.0,1.0,0.0,0.0
157,хотеть выразить благодарность сотрудник офис втб адрес г нижний новгород пр ленин 111 профессионализм именно помощь устранение ошибка приложение втб онлайн тот ошибка открытие вклад,0.2586196370099715,0.5764301312362401,0.1649502317537885,0.0,1.0,0.0,0.0
158,добрый день обратиться колл центр жалоба невозможность перевести деньга сбп,0.09893930584983404,0.470408702064317,0.4306519920858491,0.0,1.0,0.0,0.0
159,добрый день весь хотеть выразить благодарность хкб представителямбанк работать сайт banki ru 30 март 8 час утро 31 март 9 30,0.2304387019669761,0.011165364849489717,0.7583959331835343,0.0,1.0,0.0,0.0
160,02 12 2021 сайт тинькофф раздел платёж оплатить жку москва карта сторонний банк,0.030503851035372394,0.7207384401122336,0.24875770885239393,0.0,1.0,0.0,0.0
161,1000 пожалеть связаться это банк никакой клиентоориентированность подать заявка автокредит выбрать машина 3 день ждать я связаться специалист рассказать наш дальнейший действие сначала сказать ждать 6 не,0.0004883842464033286,0.9923824223063158,0.007129193447280817,0.6666666666666666,0.3333333333333333,0.0,0.0
162,клиент банк год не подозревать пополнять карта онлайн,0.030408345327726707,0.8533249180045047,0.11626673666776863,0.0,1.0,0.0,0.0
163,15 09 2022 внести карта мир который заверение банк втб работать рублёвый система 1 млн рубль банк сконвертировать сумма евро,0.12660910290631391,0.04489270928964067,0.8284981878040455,0.0,1.0,0.0,0.0
164,добрый день банк работать захотеть деньга зачислять левый пятка зачесаться судить остаток мой счёт сумма 4000 рубль,0.2118110499108083,0.7196706255424828,0.06851832454670884,0.0,1.0,0.0,0.0
165,давний клиент альфа банк уходить приходить целое неплохо особенно сравнение другой банк,0.47413136900949315,0.17901997984423362,0.34684865114627317,1.0,0.0,0.0,0.0
